title,company,location,education,experience,skills,description
Nurse,Ethiopian Shipping Lines,Hawassa,Diploma,6,"Linux, Communication, Cybersecurity, Customer Service, Leadership, Data Analysis","We are looking for a Nurse at Ethiopian Shipping Lines in Hawassa. Requirements: Diploma degree, 6 years experience, skills: Linux, Communication, Cybersecurity, Customer Service, Leadership, Data Analysis."
Nurse,Ministry of Education,Bahir Dar,High School,10,"TensorFlow, CCNA, Cybersecurity, Cisco, Teaching, AWS","We are looking for a Nurse at Ministry of Education in Bahir Dar. Requirements: High School degree, 10 years experience, skills: TensorFlow, CCNA, Cybersecurity, Cisco, Teaching, AWS."
Architect,Habesha Breweries,Adama,Bachelor's,5,"Ethical Hacking, Sales, Marketing","We are looking for a Architect at Habesha Breweries in Adama. Requirements: Bachelor's degree, 5 years experience, skills: Ethical Hacking, Sales, Marketing."
Procurement Officer,Oxfam GB,Hawassa,Bachelor's,5,"Microsoft Office, Accounting, Machine Learning, Data Analysis","We are looking for a Procurement Officer at Oxfam GB in Hawassa. Requirements: Bachelor's degree, 5 years experience, skills: Microsoft Office, Accounting, Machine Learning, Data Analysis."
Content Writer,Addis Ababa University,Gondar,Bachelor's,1,"PyTorch, Marketing, JavaScript, Project Management","We are looking for a Content Writer at Addis Ababa University in Gondar. Requirements: Bachelor's degree, 1 years experience, skills: PyTorch, Marketing, JavaScript, Project Management."
Customer Service Officer,NIB Insurance,Gondar,Bachelor's,10,"Project Management, CSS, Python, Customer Service, Networking","We are looking for a Customer Service Officer at NIB Insurance in Gondar. Requirements: Bachelor's degree, 10 years experience, skills: Project Management, CSS, Python, Customer Service, Networking."
Content Writer,Addis Ababa University,Jimma,Master's,10,"Leadership, English, QuickBooks","We are looking for a Content Writer at Addis Ababa University in Jimma. Requirements: Master's degree, 10 years experience, skills: Leadership, English, QuickBooks."
Teacher,CARE Ethiopia,Jimma,Master's,10,"SAP, Ethical Hacking, Microsoft Office, AWS, Git","We are looking for a Teacher at CARE Ethiopia in Jimma. Requirements: Master's degree, 10 years experience, skills: SAP, Ethical Hacking, Microsoft Office, AWS, Git."
Data Analyst,Habesha Breweries,Bahir Dar,Master's,5,"CSS, Linux, Git, Excel, TensorFlow, Machine Learning","We are looking for a Data Analyst at Habesha Breweries in Bahir Dar. Requirements: Master's degree, 5 years experience, skills: CSS, Linux, Git, Excel, TensorFlow, Machine Learning."
Network Administrator,Homegrown Ethiopia,Mekelle,Master's,5,"Project Management, QuickBooks, Marketing, Django, Java, Git, Microsoft Office","We are looking for a Network Administrator at Homegrown Ethiopia in Mekelle. Requirements: Master's degree, 5 years experience, skills: Project Management, QuickBooks, Marketing, Django, Java, Git, Microsoft Office."
Content Writer,CARE Ethiopia,Dire Dawa,Diploma,8,"SQL, Cisco, Writing, Research, NumPy, Java","We are looking for a Content Writer at CARE Ethiopia in Dire Dawa. Requirements: Diploma degree, 8 years experience, skills: SQL, Cisco, Writing, Research, NumPy, Java."
Data Analyst,World Food Programme,Dire Dawa,Master's,10,"Sales, Project Management, Ethical Hacking, Leadership, Machine Learning, TensorFlow, SAP","We are looking for a Data Analyst at World Food Programme in Dire Dawa. Requirements: Master's degree, 10 years experience, skills: Sales, Project Management, Ethical Hacking, Leadership, Machine Learning, TensorFlow, SAP."
Hotel Manager,PSI Ethiopia,Jimma,Diploma,7,"Pandas, Java, Excel, PyTorch, Sales, Django, Research, Amharic","We are looking for a Hotel Manager at PSI Ethiopia in Jimma. Requirements: Diploma degree, 7 years experience, skills: Pandas, Java, Excel, PyTorch, Sales, Django, Research, Amharic."
Civil Engineer,Homegrown Ethiopia,Jimma,High School,4,"Research, Excel, Writing, Pandas, Networking","We are looking for a Civil Engineer at Homegrown Ethiopia in Jimma. Requirements: High School degree, 4 years experience, skills: Research, Excel, Writing, Pandas, Networking."
Accountant,Habesha Breweries,Mekelle,Diploma,1,"Microsoft Office, AWS, Docker, Teaching, CSS, CCNA, Machine Learning, Linux","We are looking for a Accountant at Habesha Breweries in Mekelle. Requirements: Diploma degree, 1 years experience, skills: Microsoft Office, AWS, Docker, Teaching, CSS, CCNA, Machine Learning, Linux."
Software Developer,Pathfinder International,Debre Zeit,Diploma,10,"Machine Learning, HTML, Java, Oracle, PyTorch, Scikit-learn, NumPy","We are looking for a Software Developer at Pathfinder International in Debre Zeit. Requirements: Diploma degree, 10 years experience, skills: Machine Learning, HTML, Java, Oracle, PyTorch, Scikit-learn, NumPy."
Nurse,Ethiopian Airlines,Hawassa,High School,0,"Amharic, JavaScript, Teaching","We are looking for a Nurse at Ethiopian Airlines in Hawassa. Requirements: High School degree, 0 years experience, skills: Amharic, JavaScript, Teaching."
Marketing Officer,Population Services International,Mekelle,Master's,7,"Cybersecurity, Cisco, QuickBooks, Oracle, Writing","We are looking for a Marketing Officer at Population Services International in Mekelle. Requirements: Master's degree, 7 years experience, skills: Cybersecurity, Cisco, QuickBooks, Oracle, Writing."
Hotel Manager,Awash Bank,Bahir Dar,High School,2,"Marketing, CCNA, Cybersecurity, PyTorch, Sales, Django, Teamwork","We are looking for a Hotel Manager at Awash Bank in Bahir Dar. Requirements: High School degree, 2 years experience, skills: Marketing, CCNA, Cybersecurity, PyTorch, Sales, Django, Teamwork."
Translator (Amharic/English),Dashen Bank,Addis Ababa,Diploma,8,"English, Data Analysis, Amharic, Sales, Docker, Excel, Microsoft Office, Scikit-learn","We are looking for a Translator (Amharic/English) at Dashen Bank in Addis Ababa. Requirements: Diploma degree, 8 years experience, skills: English, Data Analysis, Amharic, Sales, Docker, Excel, Microsoft Office, Scikit-learn."
Sales Representative,Pathfinder International,Hawassa,High School,0,"Python, QuickBooks, Accounting, CSS, Scikit-learn, Flask, Customer Service, Git","We are looking for a Sales Representative at Pathfinder International in Hawassa. Requirements: High School degree, 0 years experience, skills: Python, QuickBooks, Accounting, CSS, Scikit-learn, Flask, Customer Service, Git."
Graphic Designer,World Food Programme,Adama,Diploma,1,"Cybersecurity, QuickBooks, Docker","We are looking for a Graphic Designer at World Food Programme in Adama. Requirements: Diploma degree, 1 years experience, skills: Cybersecurity, QuickBooks, Docker."
Tour Guide,Ethiopian Shipping Lines,Jimma,High School,4,"Java, Customer Service, Amharic, Project Management, CCNA","We are looking for a Tour Guide at Ethiopian Shipping Lines in Jimma. Requirements: High School degree, 4 years experience, skills: Java, Customer Service, Amharic, Project Management, CCNA."
Teacher,Dashen Bank,Mekelle,Master's,0,"Cybersecurity, Machine Learning, Git","We are looking for a Teacher at Dashen Bank in Mekelle. Requirements: Master's degree, 0 years experience, skills: Cybersecurity, Machine Learning, Git."
Civil Engineer,SOS Children's Villages,Mekelle,High School,7,"CSS, PyTorch, Flask","We are looking for a Civil Engineer at SOS Children's Villages in Mekelle. Requirements: High School degree, 7 years experience, skills: CSS, PyTorch, Flask."
Content Writer,Awash Bank,Addis Ababa,Diploma,0,"Java, AWS, Marketing, Linux, Python, Teamwork, Excel","We are looking for a Content Writer at Awash Bank in Addis Ababa. Requirements: Diploma degree, 0 years experience, skills: Java, AWS, Marketing, Linux, Python, Teamwork, Excel."
Data Analyst,SOS Children's Villages,Bahir Dar,High School,6,"NumPy, Research, Scikit-learn, Python, Excel, Docker, Machine Learning, Cisco","We are looking for a Data Analyst at SOS Children's Villages in Bahir Dar. Requirements: High School degree, 6 years experience, skills: NumPy, Research, Scikit-learn, Python, Excel, Docker, Machine Learning, Cisco."
Content Writer,Ethiopian Airlines,Debre Zeit,Diploma,1,"Communication, HTML, Data Analysis","We are looking for a Content Writer at Ethiopian Airlines in Debre Zeit. Requirements: Diploma degree, 1 years experience, skills: Communication, HTML, Data Analysis."
Financial Analyst,Ethio Telecom,Bahir Dar,Diploma,2,"AWS, CSS, Networking, TensorFlow","We are looking for a Financial Analyst at Ethio Telecom in Bahir Dar. Requirements: Diploma degree, 2 years experience, skills: AWS, CSS, Networking, TensorFlow."
Data Analyst,Techno Serve,Jimma,High School,0,"Docker, Communication, Accounting, Leadership, Java, Machine Learning, AWS","We are looking for a Data Analyst at Techno Serve in Jimma. Requirements: High School degree, 0 years experience, skills: Docker, Communication, Accounting, Leadership, Java, Machine Learning, AWS."
Architect,Techno Serve,Hawassa,Diploma,9,"Cisco, QuickBooks, Oracle, Cybersecurity, Pandas, Teamwork, English, Teaching","We are looking for a Architect at Techno Serve in Hawassa. Requirements: Diploma degree, 9 years experience, skills: Cisco, QuickBooks, Oracle, Cybersecurity, Pandas, Teamwork, English, Teaching."
Accountant,Addis Ababa University,Addis Ababa,High School,3,"Machine Learning, Marketing, Communication, SAP, Scikit-learn, HTML","We are looking for a Accountant at Addis Ababa University in Addis Ababa. Requirements: High School degree, 3 years experience, skills: Machine Learning, Marketing, Communication, SAP, Scikit-learn, HTML."
Human Resources Assistant,PSI Ethiopia,Hawassa,High School,10,"Project Management, Microsoft Office, Pandas, Ethical Hacking, Flask","We are looking for a Human Resources Assistant at PSI Ethiopia in Hawassa. Requirements: High School degree, 10 years experience, skills: Project Management, Microsoft Office, Pandas, Ethical Hacking, Flask."
Auditor,Techno Serve,Bahir Dar,High School,5,"CCNA, Docker, Excel, Leadership, Customer Service","We are looking for a Auditor at Techno Serve in Bahir Dar. Requirements: High School degree, 5 years experience, skills: CCNA, Docker, Excel, Leadership, Customer Service."
Mechanic,NIB Insurance,Debre Zeit,Diploma,0,"Machine Learning, Research, NumPy, Flask, Cybersecurity, SQL, TensorFlow","We are looking for a Mechanic at NIB Insurance in Debre Zeit. Requirements: Diploma degree, 0 years experience, skills: Machine Learning, Research, NumPy, Flask, Cybersecurity, SQL, TensorFlow."
Network Administrator,Ethio Telecom,Dire Dawa,Master's,8,"Project Management, English, Django, Sales, Communication, Microsoft Office","We are looking for a Network Administrator at Ethio Telecom in Dire Dawa. Requirements: Master's degree, 8 years experience, skills: Project Management, English, Django, Sales, Communication, Microsoft Office."
Architect,CARE Ethiopia,Mekelle,Master's,4,"Cisco, Scikit-learn, Writing, Cybersecurity, SQL, Oracle","We are looking for a Architect at CARE Ethiopia in Mekelle. Requirements: Master's degree, 4 years experience, skills: Cisco, Scikit-learn, Writing, Cybersecurity, SQL, Oracle."
Auditor,Oxfam GB,Addis Ababa,Master's,1,"Scikit-learn, Customer Service, CCNA","We are looking for a Auditor at Oxfam GB in Addis Ababa. Requirements: Master's degree, 1 years experience, skills: Scikit-learn, Customer Service, CCNA."
Network Administrator,NIB Insurance,Hawassa,Master's,5,"Leadership, English, Cybersecurity, Django","We are looking for a Network Administrator at NIB Insurance in Hawassa. Requirements: Master's degree, 5 years experience, skills: Leadership, English, Cybersecurity, Django."
Nurse,Ethiopian Shipping Lines,Bahir Dar,Master's,9,"NumPy, Data Analysis, Writing, CSS, Scikit-learn, Django, PyTorch","We are looking for a Nurse at Ethiopian Shipping Lines in Bahir Dar. Requirements: Master's degree, 9 years experience, skills: NumPy, Data Analysis, Writing, CSS, Scikit-learn, Django, PyTorch."
Project Manager,Commercial Bank of Ethiopia,Dire Dawa,Master's,8,"Excel, QuickBooks, CSS, Microsoft Office, Java","We are looking for a Project Manager at Commercial Bank of Ethiopia in Dire Dawa. Requirements: Master's degree, 8 years experience, skills: Excel, QuickBooks, CSS, Microsoft Office, Java."
Graphic Designer,Ethiopian Airlines,Debre Zeit,High School,0,"QuickBooks, AWS, Communication, Flask, Pandas, NumPy, Accounting, Cybersecurity","We are looking for a Graphic Designer at Ethiopian Airlines in Debre Zeit. Requirements: High School degree, 0 years experience, skills: QuickBooks, AWS, Communication, Flask, Pandas, NumPy, Accounting, Cybersecurity."
Data Analyst,Ethiopian Airlines,Bahir Dar,High School,2,"Cybersecurity, Accounting, QuickBooks, Research, SQL, CCNA","We are looking for a Data Analyst at Ethiopian Airlines in Bahir Dar. Requirements: High School degree, 2 years experience, skills: Cybersecurity, Accounting, QuickBooks, Research, SQL, CCNA."
Architect,CARE Ethiopia,Debre Zeit,High School,10,"Marketing, Pandas, Customer Service, Excel, QuickBooks, NumPy, SAP","We are looking for a Architect at CARE Ethiopia in Debre Zeit. Requirements: High School degree, 10 years experience, skills: Marketing, Pandas, Customer Service, Excel, QuickBooks, NumPy, SAP."
Hotel Manager,Dashen Bank,Gondar,Master's,8,"QuickBooks, JavaScript, PyTorch, Leadership","We are looking for a Hotel Manager at Dashen Bank in Gondar. Requirements: Master's degree, 8 years experience, skills: QuickBooks, JavaScript, PyTorch, Leadership."
Tour Guide,Oxfam GB,Debre Zeit,Master's,0,"Networking, Data Analysis, AWS, QuickBooks, English, Linux","We are looking for a Tour Guide at Oxfam GB in Debre Zeit. Requirements: Master's degree, 0 years experience, skills: Networking, Data Analysis, AWS, QuickBooks, English, Linux."
Marketing Officer,Awash Bank,Debre Zeit,Master's,8,"English, CSS, Docker, Writing, HTML, Teamwork","We are looking for a Marketing Officer at Awash Bank in Debre Zeit. Requirements: Master's degree, 8 years experience, skills: English, CSS, Docker, Writing, HTML, Teamwork."
Content Writer,SOS Children's Villages,Debre Zeit,High School,1,"Project Management, PyTorch, Python, Data Analysis, Networking","We are looking for a Content Writer at SOS Children's Villages in Debre Zeit. Requirements: High School degree, 1 years experience, skills: Project Management, PyTorch, Python, Data Analysis, Networking."
Nurse,Ministry of Education,Gondar,High School,1,"Microsoft Office, NumPy, Docker, HTML","We are looking for a Nurse at Ministry of Education in Gondar. Requirements: High School degree, 1 years experience, skills: Microsoft Office, NumPy, Docker, HTML."
Mechanic,PSI Ethiopia,Bahir Dar,Diploma,10,"Oracle, Microsoft Office, Django, SAP, Pandas","We are looking for a Mechanic at PSI Ethiopia in Bahir Dar. Requirements: Diploma degree, 10 years experience, skills: Oracle, Microsoft Office, Django, SAP, Pandas."
Financial Analyst,Addis Ababa University,Hawassa,Master's,10,"QuickBooks, Oracle, Data Analysis, Cybersecurity, AWS","We are looking for a Financial Analyst at Addis Ababa University in Hawassa. Requirements: Master's degree, 10 years experience, skills: QuickBooks, Oracle, Data Analysis, Cybersecurity, AWS."
Software Developer,CARE Ethiopia,Hawassa,Bachelor's,1,"Communication, Cisco, Machine Learning, Oracle, Microsoft Office, Research, Django","We are looking for a Software Developer at CARE Ethiopia in Hawassa. Requirements: Bachelor's degree, 1 years experience, skills: Communication, Cisco, Machine Learning, Oracle, Microsoft Office, Research, Django."
Mechanic,Commercial Bank of Ethiopia,Bahir Dar,Master's,7,"Project Management, Communication, NumPy, JavaScript, English, Linux, Research","We are looking for a Mechanic at Commercial Bank of Ethiopia in Bahir Dar. Requirements: Master's degree, 7 years experience, skills: Project Management, Communication, NumPy, JavaScript, English, Linux, Research."
Logistics Coordinator,Oxfam GB,Dire Dawa,High School,4,"CSS, Amharic, TensorFlow, JavaScript, Linux, Sales, CCNA, Django","We are looking for a Logistics Coordinator at Oxfam GB in Dire Dawa. Requirements: High School degree, 4 years experience, skills: CSS, Amharic, TensorFlow, JavaScript, Linux, Sales, CCNA, Django."
Content Writer,Population Services International,Adama,Diploma,8,"NumPy, SQL, Communication, Marketing","We are looking for a Content Writer at Population Services International in Adama. Requirements: Diploma degree, 8 years experience, skills: NumPy, SQL, Communication, Marketing."
Customer Service Officer,Population Services International,Jimma,Bachelor's,9,"Customer Service, Microsoft Office, Django, Excel","We are looking for a Customer Service Officer at Population Services International in Jimma. Requirements: Bachelor's degree, 9 years experience, skills: Customer Service, Microsoft Office, Django, Excel."
Translator (Amharic/English),Population Services International,Adama,Diploma,7,"Pandas, Docker, Machine Learning, Cisco, QuickBooks","We are looking for a Translator (Amharic/English) at Population Services International in Adama. Requirements: Diploma degree, 7 years experience, skills: Pandas, Docker, Machine Learning, Cisco, QuickBooks."
Mechanic,Habesha Breweries,Bahir Dar,Diploma,1,"Networking, Sales, Accounting, Marketing, Customer Service, PyTorch","We are looking for a Mechanic at Habesha Breweries in Bahir Dar. Requirements: Diploma degree, 1 years experience, skills: Networking, Sales, Accounting, Marketing, Customer Service, PyTorch."
Network Administrator,Habesha Breweries,Dire Dawa,Diploma,10,"Communication, Amharic, JavaScript","We are looking for a Network Administrator at Habesha Breweries in Dire Dawa. Requirements: Diploma degree, 10 years experience, skills: Communication, Amharic, JavaScript."
Graphic Designer,Pathfinder International,Jimma,Master's,4,"SQL, CSS, Microsoft Office, Customer Service, Project Management, Communication, Docker, Git","We are looking for a Graphic Designer at Pathfinder International in Jimma. Requirements: Master's degree, 4 years experience, skills: SQL, CSS, Microsoft Office, Customer Service, Project Management, Communication, Docker, Git."
Translator (Amharic/English),World Food Programme,Addis Ababa,High School,4,"Microsoft Office, Flask, Cybersecurity, Leadership, Project Management","We are looking for a Translator (Amharic/English) at World Food Programme in Addis Ababa. Requirements: High School degree, 4 years experience, skills: Microsoft Office, Flask, Cybersecurity, Leadership, Project Management."
Logistics Coordinator,Homegrown Ethiopia,Mekelle,Bachelor's,2,"English, Flask, Django, Linux, SQL","We are looking for a Logistics Coordinator at Homegrown Ethiopia in Mekelle. Requirements: Bachelor's degree, 2 years experience, skills: English, Flask, Django, Linux, SQL."
Marketing Officer,Techno Serve,Gondar,Master's,1,"AWS, NumPy, Linux, Django, Sales, PyTorch","We are looking for a Marketing Officer at Techno Serve in Gondar. Requirements: Master's degree, 1 years experience, skills: AWS, NumPy, Linux, Django, Sales, PyTorch."
Tour Guide,CARE Ethiopia,Gondar,Diploma,10,"Microsoft Office, Networking, Git, Teamwork, Oracle, PyTorch, Ethical Hacking","We are looking for a Tour Guide at CARE Ethiopia in Gondar. Requirements: Diploma degree, 10 years experience, skills: Microsoft Office, Networking, Git, Teamwork, Oracle, PyTorch, Ethical Hacking."
Procurement Officer,Techno Serve,Mekelle,High School,4,"Cybersecurity, Flask, Leadership, English","We are looking for a Procurement Officer at Techno Serve in Mekelle. Requirements: High School degree, 4 years experience, skills: Cybersecurity, Flask, Leadership, English."
Mechanic,PSI Ethiopia,Mekelle,High School,6,"Amharic, HTML, Sales, PyTorch, Research, Project Management, Oracle, Data Analysis","We are looking for a Mechanic at PSI Ethiopia in Mekelle. Requirements: High School degree, 6 years experience, skills: Amharic, HTML, Sales, PyTorch, Research, Project Management, Oracle, Data Analysis."
Procurement Officer,Homegrown Ethiopia,Hawassa,Master's,10,"Networking, Pandas, Sales, Project Management, Git","We are looking for a Procurement Officer at Homegrown Ethiopia in Hawassa. Requirements: Master's degree, 10 years experience, skills: Networking, Pandas, Sales, Project Management, Git."
Financial Analyst,Population Services International,Mekelle,Bachelor's,3,"Flask, Ethical Hacking, Accounting, QuickBooks, SAP, Microsoft Office, Data Analysis","We are looking for a Financial Analyst at Population Services International in Mekelle. Requirements: Bachelor's degree, 3 years experience, skills: Flask, Ethical Hacking, Accounting, QuickBooks, SAP, Microsoft Office, Data Analysis."
Software Developer,SOS Children's Villages,Mekelle,Diploma,9,"Writing, SAP, SQL, English, AWS","We are looking for a Software Developer at SOS Children's Villages in Mekelle. Requirements: Diploma degree, 9 years experience, skills: Writing, SAP, SQL, English, AWS."
Civil Engineer,Homegrown Ethiopia,Adama,High School,0,"Writing, Microsoft Office, Git","We are looking for a Civil Engineer at Homegrown Ethiopia in Adama. Requirements: High School degree, 0 years experience, skills: Writing, Microsoft Office, Git."
Marketing Officer,Pathfinder International,Jimma,High School,9,"JavaScript, CSS, Excel, English, Teamwork, AWS","We are looking for a Marketing Officer at Pathfinder International in Jimma. Requirements: High School degree, 9 years experience, skills: JavaScript, CSS, Excel, English, Teamwork, AWS."
Electrician,Oxfam GB,Jimma,Master's,4,"Python, Marketing, TensorFlow, Project Management, Scikit-learn, Leadership, SAP","We are looking for a Electrician at Oxfam GB in Jimma. Requirements: Master's degree, 4 years experience, skills: Python, Marketing, TensorFlow, Project Management, Scikit-learn, Leadership, SAP."
Procurement Officer,Ethiopian Shipping Lines,Debre Zeit,Master's,4,"Java, Ethical Hacking, English","We are looking for a Procurement Officer at Ethiopian Shipping Lines in Debre Zeit. Requirements: Master's degree, 4 years experience, skills: Java, Ethical Hacking, English."
Customer Service Officer,Addis Ababa University,Debre Zeit,Bachelor's,7,"Pandas, Scikit-learn, Teamwork, CCNA","We are looking for a Customer Service Officer at Addis Ababa University in Debre Zeit. Requirements: Bachelor's degree, 7 years experience, skills: Pandas, Scikit-learn, Teamwork, CCNA."
Teacher,Habesha Breweries,Hawassa,Diploma,2,"CCNA, Django, Networking, Scikit-learn, Cisco, Customer Service","We are looking for a Teacher at Habesha Breweries in Hawassa. Requirements: Diploma degree, 2 years experience, skills: CCNA, Django, Networking, Scikit-learn, Cisco, Customer Service."
Procurement Officer,NIB Insurance,Bahir Dar,High School,10,"Cisco, Microsoft Office, Git, Excel, Java","We are looking for a Procurement Officer at NIB Insurance in Bahir Dar. Requirements: High School degree, 10 years experience, skills: Cisco, Microsoft Office, Git, Excel, Java."
Administrative Assistant,Ministry of Education,Gondar,Diploma,4,"Data Analysis, AWS, Cybersecurity, Microsoft Office","We are looking for a Administrative Assistant at Ministry of Education in Gondar. Requirements: Diploma degree, 4 years experience, skills: Data Analysis, AWS, Cybersecurity, Microsoft Office."
Administrative Assistant,Oxfam GB,Dire Dawa,Diploma,9,"QuickBooks, Networking, Data Analysis, Teamwork, Oracle, Flask, Sales, Cybersecurity","We are looking for a Administrative Assistant at Oxfam GB in Dire Dawa. Requirements: Diploma degree, 9 years experience, skills: QuickBooks, Networking, Data Analysis, Teamwork, Oracle, Flask, Sales, Cybersecurity."
Nurse,Habesha Breweries,Jimma,Diploma,8,"CCNA, Leadership, Ethical Hacking, Pandas, Marketing","We are looking for a Nurse at Habesha Breweries in Jimma. Requirements: Diploma degree, 8 years experience, skills: CCNA, Leadership, Ethical Hacking, Pandas, Marketing."
Accountant,Population Services International,Dire Dawa,Bachelor's,9,"Java, Cisco, Project Management, Data Analysis, Excel, Microsoft Office","We are looking for a Accountant at Population Services International in Dire Dawa. Requirements: Bachelor's degree, 9 years experience, skills: Java, Cisco, Project Management, Data Analysis, Excel, Microsoft Office."
Nurse,CARE Ethiopia,Gondar,Bachelor's,6,"Teaching, Cisco, Docker","We are looking for a Nurse at CARE Ethiopia in Gondar. Requirements: Bachelor's degree, 6 years experience, skills: Teaching, Cisco, Docker."
Data Analyst,NIB Insurance,Hawassa,High School,8,"SAP, Networking, Microsoft Office, Leadership, Python, Java, Marketing","We are looking for a Data Analyst at NIB Insurance in Hawassa. Requirements: High School degree, 8 years experience, skills: SAP, Networking, Microsoft Office, Leadership, Python, Java, Marketing."
Hotel Manager,CARE Ethiopia,Dire Dawa,High School,4,"PyTorch, Django, Marketing, NumPy","We are looking for a Hotel Manager at CARE Ethiopia in Dire Dawa. Requirements: High School degree, 4 years experience, skills: PyTorch, Django, Marketing, NumPy."
Teacher,PSI Ethiopia,Debre Zeit,Bachelor's,4,"JavaScript, Linux, CSS, Teamwork, Scikit-learn, Data Analysis, Machine Learning","We are looking for a Teacher at PSI Ethiopia in Debre Zeit. Requirements: Bachelor's degree, 4 years experience, skills: JavaScript, Linux, CSS, Teamwork, Scikit-learn, Data Analysis, Machine Learning."
Auditor,Dashen Bank,Addis Ababa,High School,10,"Marketing, Excel, Cybersecurity, Machine Learning, TensorFlow, Research, NumPy","We are looking for a Auditor at Dashen Bank in Addis Ababa. Requirements: High School degree, 10 years experience, skills: Marketing, Excel, Cybersecurity, Machine Learning, TensorFlow, Research, NumPy."
Administrative Assistant,PSI Ethiopia,Hawassa,Master's,10,"Project Management, AWS, Linux, Teaching, Leadership, NumPy, Excel, Communication","We are looking for a Administrative Assistant at PSI Ethiopia in Hawassa. Requirements: Master's degree, 10 years experience, skills: Project Management, AWS, Linux, Teaching, Leadership, NumPy, Excel, Communication."
